epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3182222247123718,1.6504253149032593,0.001,0.37361112236976624,1.422104001045227
1,0.38264328241348267,1.385006308555603,0.001,0.3524305522441864,1.5711537599563599
2,0.44369590282440186,1.2492924928665161,0.001,0.4520833194255829,1.2466027736663818
3,0.49492397904396057,1.1361092329025269,0.001,0.4763889014720917,1.4341343641281128
4,0.5498011708259583,1.0373733043670654,0.001,0.5260416865348816,1.1673922538757324
5,0.581941545009613,0.970733642578125,0.001,0.5201388597488403,1.2569913864135742
6,0.6064561605453491,0.9337907433509827,0.001,0.5746527910232544,1.1685599088668823
7,0.6229239702224731,0.9053391814231873,0.001,0.5986111164093018,1.050302267074585
8,0.6375204920768738,0.8788692355155945,0.001,0.5444444417953491,1.2346415519714355
9,0.643508791923523,0.8598635792732239,0.001,0.5902777910232544,1.0502567291259766
10,0.6524912118911743,0.841264009475708,0.001,0.5798611044883728,1.119207739830017
11,0.6673684120178223,0.825631856918335,0.001,0.5979166626930237,1.1306735277175903
12,0.6648889183998108,0.822218656539917,0.001,0.5965277552604675,1.1385854482650757
13,0.671859622001648,0.804850161075592,0.001,0.6180555820465088,1.1225628852844238
14,0.7000702023506165,0.7455515265464783,0.00020000001,0.6291666626930237,1.0156031847000122
15,0.7024093270301819,0.7331480979919434,0.00020000001,0.6354166865348816,1.0259068012237549
16,0.7097076177597046,0.7228498458862305,0.00020000001,0.628819465637207,1.0625957250595093
17,0.7124210596084595,0.7160056233406067,0.00020000001,0.6336805820465088,1.0743829011917114
18,0.7172397375106812,0.70589280128479,0.00020000001,0.6392360925674438,1.0264606475830078
19,0.719157874584198,0.7002482414245605,0.00020000001,0.6381944417953491,1.0462679862976074
20,0.7202807068824768,0.7001646161079407,0.00020000001,0.6322916746139526,1.0232239961624146
21,0.7247719168663025,0.688646674156189,4.0000003e-05,0.6395833492279053,1.0301657915115356
22,0.7270175218582153,0.6816380023956299,4.0000003e-05,0.6409721970558167,1.0540333986282349
23,0.726409375667572,0.6849886775016785,4.0000003e-05,0.6430555582046509,1.0393576622009277
